"ORIGIN","DEST"
"FLL","ACY"
"MCO","ACY"
"RSW","ACY"
"TPA","ACY"
"FLL","ALB"
"MCO","ALB"
"TPA","ALB"
"DAB","ATL"
"ECP","ATL"
"EYW","ATL"
"FLL","ATL"
"GNV","ATL"
"JAX","ATL"
"MCO","ATL"
"MIA","ATL"
"MLB","ATL"
"PBI","ATL"
"PNS","ATL"
"RSW","ATL"
"SRQ","ATL"
"TLH","ATL"
"TPA","ATL"
"VPS","ATL"
"FLL","AUS"
"MCO","AUS"
"TPA","AUS"
"FLL","BDL"
"MCO","BDL"
"MIA","BDL"
"PBI","BDL"
"RSW","BDL"
"TPA","BDL"
"MCO","BHM"
"TPA","BHM"
"ECP","BNA"
"FLL","BNA"
"JAX","BNA"
"MCO","BNA"
"PNS","BNA"
"TPA","BNA"
"FLL","BOS"
"JAX","BOS"
"MCO","BOS"
"MIA","BOS"
"PBI","BOS"
"RSW","BOS"
"SRQ","BOS"
"TPA","BOS"
"FLL","BQN"
"MCO","BQN"
"FLL","BUF"
"MCO","BUF"
"TPA","BUF"
"FLL","BWI"
"JAX","BWI"
"MCO","BWI"
"MIA","BWI"
"PBI","BWI"
"RSW","BWI"
"TPA","BWI"
"MCO","CAK"
"FLL","CHS"
"FLL","CLE"
"MCO","CLE"
"RSW","CLE"
"TPA","CLE"
"FLL","CLT"
"JAX","CLT"
"MCO","CLT"
"MIA","CLT"
"PBI","CLT"
"RSW","CLT"
"TPA","CLT"
"FLL","CMH"
"MCO","CMH"
"RSW","CMH"
"TPA","CMH"
"MCO","COS"
"FLL","CVG"
"MCO","CVG"
"RSW","CVG"
"TPA","CVG"
"ATL","DAB"
"JFK","DAB"
"ECP","DAL"
"FLL","DAL"
"MCO","DAL"
"TPA","DAL"
"FLL","DCA"
"JAX","DCA"
"MCO","DCA"
"MIA","DCA"
"PBI","DCA"
"RSW","DCA"
"TPA","DCA"
"FLL","DEN"
"JAX","DEN"
"MCO","DEN"
"MIA","DEN"
"RSW","DEN"
"TPA","DEN"
"FLL","DFW"
"JAX","DFW"
"MCO","DFW"
"MIA","DFW"
"PBI","DFW"
"RSW","DFW"
"TPA","DFW"
"VPS","DFW"
"FLL","DTW"
"MCO","DTW"
"MIA","DTW"
"PBI","DTW"
"RSW","DTW"
"TPA","DTW"
"ATL","ECP"
"BNA","ECP"
"DAL","ECP"
"HOU","ECP"
"IAH","ECP"
"FLL","EWR"
"JAX","EWR"
"MCO","EWR"
"MIA","EWR"
"PBI","EWR"
"RSW","EWR"
"TPA","EWR"
"ATL","EYW"
"ACY","FLL"
"ALB","FLL"
"ATL","FLL"
"AUS","FLL"
"BDL","FLL"
"BNA","FLL"
"BOS","FLL"
"BQN","FLL"
"BUF","FLL"
"BWI","FLL"
"CHS","FLL"
"CLE","FLL"
"CLT","FLL"
"CMH","FLL"
"CVG","FLL"
"DAL","FLL"
"DCA","FLL"
"DEN","FLL"
"DFW","FLL"
"DTW","FLL"
"EWR","FLL"
"HOU","FLL"
"HPN","FLL"
"IAD","FLL"
"IAG","FLL"
"IAH","FLL"
"IND","FLL"
"ISP","FLL"
"JAX","FLL"
"JFK","FLL"
"LAS","FLL"
"LAX","FLL"
"LBE","FLL"
"LGA","FLL"
"LGB","FLL"
"MCI","FLL"
"MCO","FLL"
"MDW","FLL"
"MKE","FLL"
"MSP","FLL"
"MSY","FLL"
"MYR","FLL"
"ORD","FLL"
"ORH","FLL"
"PBG","FLL"
"PHL","FLL"
"PHX","FLL"
"PIT","FLL"
"PVD","FLL"
"RDU","FLL"
"RIC","FLL"
"SAN","FLL"
"SEA","FLL"
"SFO","FLL"
"SJU","FLL"
"STL","FLL"
"STT","FLL"
"SWF","FLL"
"TPA","FLL"
"ATL","GNV"
"ECP","HOU"
"FLL","HOU"
"JAX","HOU"
"MCO","HOU"
"PNS","HOU"
"TPA","HOU"
"FLL","HPN"
"MCO","HPN"
"PBI","HPN"
"RSW","HPN"
"TPA","HPN"
"FLL","IAD"
"MCO","IAD"
"MIA","IAD"
"TPA","IAD"
"FLL","IAG"
"ECP","IAH"
"FLL","IAH"
"JAX","IAH"
"MCO","IAH"
"MIA","IAH"
"PNS","IAH"
"RSW","IAH"
"TPA","IAH"
"VPS","IAH"
"FLL","IND"
"MCO","IND"
"RSW","IND"
"TPA","IND"
"FLL","ISP"
"MCO","ISP"
"PBI","ISP"
"TPA","ISP"
"ATL","JAX"
